Outcome,Residuals
1,0.3077722191810608
0,0.27436643838882446
1,0.38226068019866943
1,0.39003241062164307
0,-0.042059823870658875
0,-0.6651421785354614
0,-0.014899805188179016
1,-0.003941495902836323
0,-0.0048187971115112305
0,-0.0047650267370045185
0,-0.0034809389617294073
1,-0.0036509199999272823
0,-0.004127613268792629
0,0.3030253052711487
0,-0.0039750803261995316
1,-0.008485572412610054
0,-0.026083409786224365
0,-0.06853155791759491
0,-0.0033445053268224
0,-0.7232087850570679
0,-0.35663506388664246
1,-0.0035537686198949814
0,0.319297194480896
0,-0.0031858813017606735
0,-0.0034756665118038654
0,-0.003304651938378811
0,-0.004053937736898661
1,0.2940617799758911
